setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2025-06-20,0.1997414176117868,12.62604911942927,62.034513207829775,132.0,0.9320921073188011,False,1.0746705860867825,0.2104881234726546,B,2025
ORB OR15 R3,ORB,2025-06-23,2.943775747614674,2.943775747614674,11.857279348024889,15.0,1.3317706448349398,False,5.622425238532614,3.0000000000000004,A,2025
ORB OR15 R3,ORB,2025-06-23,-1.0941724737547245,-1.1246651521605597,7.079209455652861,174.0,1.3317706448349398,False,9.417247375472453,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-24,-1.0854814040848741,-1.0854814040848741,7.798967199985828,16.0,0.6901041486110707,False,8.548140408487399,-1.0000000000000002,B,2025
ORB OR15 R3,ORB,2025-06-24,-1.146448176864886,-1.146448176864886,4.552236026002139,65.0,0.6901041486110707,False,14.644817686488595,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-25,-1.108182652776128,-1.108182652776128,6.1624174445625775,20.0,0.5998259818615056,False,10.81826527761279,-1.0000000000000002,B,2025
ORB OR15 R3,ORB,2025-06-25,-1.1620152082465296,-1.1620152082465296,5.321182156957476,34.0,0.5998259818615056,False,12.52854435353235,-1.0367297647112061,B,2025
ORB OR15 R3,ORB,2025-06-26,-1.0754225034413394,-1.0754225034413394,8.839094915288438,18.0,0.7672504869797886,False,7.542250344133928,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-26,-1.0952656471217435,-1.0952656471217435,6.997975522222703,30.0,0.7672504869797886,False,9.526564712174352,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-27,2.900989633274825,2.900989633274825,6.733301660392257,15.0,0.6003662714808405,False,9.901036672517494,3.0,B,2025
ORB OR15 R3,ORB,2025-06-27,-1.0427732002757535,-1.2398921655653994,15.586083397284934,254.0,0.6003662714808405,False,4.277320027575361,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-06-30,-1.0966035311126423,-1.0966035311126423,6.9010589880955315,18.0,0.7729856362311783,False,9.660353111264234,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-30,-1.2926434002597367,-1.2926434002597367,3.451365961614602,105.0,0.7729856362311783,False,19.316023686888013,-1.0994831633908566,B,2025
ORB OR15 R3,ORB,2025-07-01,-1.09900819944073,-1.09900819944073,6.733449052022791,19.0,0.48355624640138967,False,9.900819944072998,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-01,-1.12899690842003,-1.12899690842003,5.1680825132329336,30.0,0.48355624640138967,False,12.899690842002991,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-02,2.9067461198285716,2.9067461198285716,7.14894292270877,15.0,0.6920945379472994,False,9.325388017142867,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-07-03,2.884503322319825,2.884503322319825,5.772171806644958,21.0,0.704175707837396,False,11.54966776801751,3.0,B,2025
ORB OR15 R3,ORB,2025-07-03,-0.11808663821592398,2.3644621448306338,36.277890258745444,228.0,0.704175707837396,False,1.8376665840041642,-0.09970997237588233,B,2025
ORB OR15 R3,ORB,2025-07-07,-1.0904311457465454,-1.0904311457465454,7.372091342679175,22.0,0.9564552980428188,False,9.043114574654549,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-07,-1.1781898369469044,-1.1781898369469044,3.741328226622232,83.0,0.9564552980428188,False,17.818983694690445,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-07-08,-1.119645202613943,-1.119645202613943,5.572030069753716,29.0,0.6930572814409036,False,11.964520261394307,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-07-08,-1.1012473413379087,-1.1012473413379087,6.5845350392134785,31.0,0.6930572814409036,False,10.124734133790865,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-09,2.8832796547731703,2.8832796547731703,5.711657769441078,15.0,1.1638481908833012,False,11.67203452268297,3.0,A,2025
ORB OR15 R3,ORB,2025-07-09,-1.4099936044277,-1.5854691785935782,5.461218919829022,57.0,1.1638481908833012,False,12.20728698946825,-1.2879207345330175,A,2025
